                        Flux (/cm^2/1E21p.o.t/50MeV)
Bin#    Energy (GeV)    numu            anti-numu       nue             anti-nue
211     20.00-21.00     7.86e-01        0.00e+00        0.00e+00        0.00e+00
212     21.00-22.00     2.33e-01        0.00e+00        0.00e+00        0.00e+00
213     22.00-23.00     1.69e-01        0.00e+00        0.00e+00        0.00e+00
214     23.00-24.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
215     24.00-25.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
216     25.00-26.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
217     26.00-27.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
218     27.00-28.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
219     28.00-29.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
220     29.00-30.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
