dm2    sintheta    -2ln(L)
0.0431696 0.00032704 373.38
0.0453255 0.00032704 373.378
0.047589 0.00032704 373.375
0.0499655 0.00032704 373.371
0.0524608 0.00032704 373.368
0.0550806 0.00032704 373.364
0.0578312 0.00032704 373.36
0.0607193 0.00032704 373.355
0.0637515 0.00032704 373.35
0.0669352 0.00032704 373.344
0.0702779 0.00032704 373.338
0.0737875 0.00032704 373.331
0.0774723 0.00032704 373.323
0.0813412 0.00032704 373.315
0.0854033 0.00032704 373.306
0.0896683 0.00032704 373.296
0.0941462 0.00032704 373.285
0.0988478 0.00032704 373.272
0.103784 0.00032704 373.259
0.108967 0.00032704 373.244
0.114409 0.00032704 373.228
0.120122 0.00032704 373.21
0.126121 0.00032704 373.19
0.132419 0.00032704 373.168
0.139032 0.00032704 373.145
0.145975 0.00032704 373.119
0.153265 0.00032704 373.09
0.160919 0.00032704 373.059
0.168955 0.00032704 373.024
0.177392 0.00032704 372.987
0.186251 0.00032704 372.946
0.195552 0.00032704 372.901
0.205318 0.00032704 372.851
0.215571 0.00032704 372.798
0.226337 0.00032704 372.739
0.23764 0.00032704 372.676
0.249507 0.00032704 372.606
0.261967 0.00032704 372.531
0.27505 0.00032704 372.449
0.288785 0.00032704 372.361
0.303207 0.00032704 372.265
0.318349 0.00032704 372.162
0.334247 0.00032704 372.051
0.350939 0.00032704 371.932
0.368464 0.00032704 371.804
0.386865 0.00032704 371.668
0.406185 0.00032704 371.523
0.426469 0.00032704 371.369
0.447766 0.00032704 371.207
0.470127 0.00032704 371.037
0.493605 0.00032704 370.859
0.518255 0.00032704 370.674
0.544136 0.00032704 370.483
0.57131 0.00032704 370.288
0.59984 0.00032704 370.088
0.629796 0.00032704 369.887
0.661247 0.00032704 369.687
0.694269 0.00032704 369.488
0.72894 0.00032704 369.293
0.765342 0.00032704 369.106
0.803563 0.00032704 368.927
0.843692 0.00032704 368.759
0.885825 0.00032704 368.602
0.930062 0.00032704 368.459
0.976508 0.00032704 368.329
1.02527 0.00032704 368.21
1.07647 0.00032704 368.101
1.13023 0.00032704 367.998
1.18668 0.00032704 367.896
1.24594 0.00032704 367.79
1.30816 0.00032704 367.672
1.37349 0.00032704 367.537
1.44208 0.00032704 367.379
1.51409 0.00032704 367.193
1.5897 0.00032704 366.981
